id,licensePlateDetected,irregularLicensePlate,latitude,longitude,macAddress,hammingDistance
88b6f18f-7dba-4228-877c-326bf2423b00,SRP6B98,SKP6B04,-23.28993920044512,-45.30058411444226,5D-14-25-AF-64-9C,3
09b587b0-4cc4-4da1-bde9-342abd853878,QWK7A82,QQW5A82,-23.25288833954191,-43.19459225524232,12-B6-A8-A6-85-79,3
319f3e7b-69c3-4d1c-9aba-814f410ba697,RUR9P19,RUE9V16,-23.23629135816017,-45.99320920093637,DD-7B-B2-2C-1E-56,3
483b1255-8f92-4de2-8033-3e0a6ee50b79,BYL2C39,BYL2C39,-23.38401498895366,-46.62781308848064,A7-2A-12-92-DB-CF,0
dca08852-fb0b-4715-94d1-cdcd00829601,USM8W56,USM8W56,-23.07662706174209,-44.95809203622019,CE-79-78-00-5A-82,0
b1aedb73-1534-451c-9364-3aa906dd1d4e,VEL2I04,VDL2I04,-23.79821397939178,-45.75589893158583,AD-76-22-12-3E-46,1
57fe38c7-e514-4bcb-997e-72bbcaa08b54,UEH4B21,FWH4B26,-23.53742580646671,-44.79199338851684,A2-91-68-4E-47-DF,3
1f378da3-afe8-4a18-adee-c2133d8f4825,ZKQ6T72,ZKG6T32,-23.5173074203703,-44.10151102046976,F5-6D-8E-3E-47-BB,2
745bf1ff-0bef-4b4f-bfe2-c556090057a4,EWV7N87,JMV9N87,-23.1106043588953,-46.7339943937996,7F-FD-75-98-4D-56,3
b9854020-1f81-44b9-bf58-ee451697477c,WZC3X71,WPC3G71,-23.17470450406354,-43.80186533607184,F3-A9-A6-CF-5C-D6,2
3d7fb45b-6be6-4442-8a32-821fa0759173,WOL2M29,WQD2M74,-23.49572147764492,-45.91579726181924,B8-E6-22-13-34-A3,4
24ff66da-07ae-45a9-87f8-1115b2016209,SXA5L67,SXA2L87,-23.74585301711186,-43.30862671349563,05-7F-50-D2-90-D4,2
23174f81-eeea-485a-af34-0095da5fbb16,PVW7A32,PVW7A32,-23.08359307389956,-45.88673586790352,13-9D-54-36-2E-FD,0
557e989a-21c0-4077-987f-f6280c80f2d5,ZQT8I92,DZA8N92,-22.80352365448664,-45.25874053539467,87-D7-89-F7-E8-7C,4
fe4ccb04-fcfb-46e7-800d-2f9ae3b9588f,FQN3X44,FQN8X44,-23.74758073837053,-44.71503182154793,80-FF-CB-6A-A5-10,1
45d1deb9-ec9c-456e-8572-82656f49a976,KMM0N68,KMM0N68,-23.20101209159868,-44.94509900285622,C5-FB-EE-06-CA-B3,0
21bf49a9-c23c-4e57-bca0-3dc7046245b8,QOU9C97,QOU8C97,-23.25280337248157,-43.94305395159334,CD-CC-43-D7-11-FE,1
70d3eb68-b50f-4713-a6cc-f5077e188e90,JQV5S85,JQV5S85,-23.26357377176754,-46.47629758708951,8E-F2-3A-D5-AD-42,0
8eba7c5e-9b7a-4e71-b6a7-2aee46c85938,OTA1A15,OTA1A15,-22.88433664044066,-46.60398600151991,FB-50-01-17-D7-54,0
347cf8bb-73bb-476c-8123-081a1fa8d6ea,EUZ3K58,PUZ3K38,-23.00118509712359,-43.43294139294672,96-67-24-F8-D1-E8,2
483ae7c7-aea5-4cb7-84e3-65965329ef09,JEB5O13,JEY2O18,-23.13666681590891,-43.37428944217725,E0-08-D0-F3-66-C1,3
cabe6919-e00f-466d-8197-f7f5281083db,GBC8Y12,GBC8Y18,-22.9578833749712,-43.67374214790818,37-99-24-FB-F3-63,1
48f5a81b-0b8b-4d53-b8f2-b14e5a59ee07,OIW1O96,OUW7O29,-23.67139929914645,-43.17544111099453,16-18-CD-1D-B4-13,4
7b604df9-9344-412a-9a7c-be46aa416309,WWT6U70,EMT6U30,-23.34409994883115,-46.57076162731587,C5-7B-85-50-3D-68,3
901b2ae9-f9bf-41f4-8ab2-96cac9a2b756,END8D04,EXD8D04,-23.74256747864035,-45.90612799892315,EB-77-22-A4-0B-51,1
3eb4305d-440c-40d8-b1d8-6965bc68ce03,HRF0Z21,MEF0Z21,-23.36024347117682,-43.22519472312307,D6-5A-9C-AF-B6-C1,2
b65da671-7af6-494f-ba76-ee4d8b1dd120,EHX0K60,EHE8K60,-23.28842891877446,-46.4108484449237,44-66-25-15-08-DA,2
609e0b08-e1d6-4d71-b29c-1ca373b609d8,QPH5K71,QPH5K75,-22.84371164832306,-44.77761610429552,F0-08-09-6E-6F-32,1
73ff2ee5-97b8-4056-8bab-656026d74c9d,MNZ1E32,MNP1E32,-22.95996417415328,-46.19426440761224,87-79-BB-16-A2-FD,1
a148f9ab-88ee-4a63-bfb2-f688b718cbaa,XMU0N74,XII0N92,-23.34984763370318,-45.8208138892947,82-FE-7D-47-A5-B4,4
9ba21037-6902-4d3f-b4e1-265cd093d53d,VKU1V32,ZQN7V34,-23.20139370750109,-45.9040386313642,36-3C-FF-07-B5-D6,5
8c988d51-8806-4898-9d52-677794b497b9,TOP1L04,VOS1B66,-23.39076312429713,-45.24564587396327,C1-1B-C6-21-D4-4C,5
