Post ID,Publish time,Post type,Impressions,Reach,Likes,Shares,Comments,Saves,Plays,Follows
1.79152564336317E+016,04/05/2021 16:55,IG image,86,84,146,0,3,7,,
1.79157261106969E+016,05/16/2021 15:53,IG image,91,89,327,0,2,8,,
1.78501334155548E+016,05/15/2021 15:54,IG image,79,76,211,0,4,6,,
1.79130436847003E+016,05/14/2021 16:03,IG image,63,61,230,0,7,11,,
1.79280950925723E+016,05/13/2021 15:50,IG reel,62,53,342,0,3,17,12448,
1.7899826458967E+016,05/11/2021 16:50,IG image,69,66,196,0,6,3,,
1.78826993032462E+016,04/29/2021 15:27,IG carousel,86,79,123,0,14,11,,
1.79219222566039E+016,04/14/2021 16:01,IG carousel,85,83,135,0,2,17,,
1.78964757769501E+016,04/12/2021 17:12,IG carousel,103,100,227,0,7,35,,
1.79390367138878E+016,04/04/2022 09:02,IG reel,98,87,294,18,18,7,6216,
1.79958282494823E+016,06/30/2022 17:10,IG carousel,661,521,601,0,17,10,,
1.7914983476448E+016,06/30/2022 10:30,IG carousel,670,571,428,0,13,6,,
1.80268792633613E+016,06/29/2022 18:24,IG reel,823,647,767,1,41,15,12709,
1.79119531375323E+016,06/15/2022 15:51,IG carousel,,,103,0,9,0,,
1.79074250845944E+016,06/15/2022 15:50,IG carousel,,,225,0,15,0,,
1.79736693886041E+016,06/15/2022 15:50,IG carousel,,,120,0,5,0,,
1.79450387120632E+016,06/15/2022 09:23,IG reel,821,635,365,1,19,6,13720,1
1.7982825289483E+016,06/14/2022 18:07,IG carousel,375,327,241,0,9,22,,
1.79397219651239E+016,06/11/2022 19:11,IG carousel,500,419,307,0,7,73,,
1.79824889744845E+016,06/08/2022 16:11,IG carousel,586,460,410,1,20,100,,1
1.80461811193364E+016,06/01/2022 17:34,IG carousel,607,464,511,11,29,42,,
1.79772090855462E+016,05/17/2022 18:15,IG carousel,568,440,186,1,13,11,,
1.80372315643428E+016,05/12/2022 05:13,IG image,463,386,267,0,14,6,,
1.8012255478399E+016,05/09/2022 06:26,IG carousel,550,444,328,1,19,16,,
1.7915447417336E+016,05/04/2022 15:23,IG carousel,612,493,647,0,36,36,,
1.79005234015979E+016,04/27/2022 15:50,IG reel,115,100,482,0,18,36,8022,
1.79255740611484E+016,04/26/2022 16:01,IG carousel,489,419,214,0,30,9,,
1.81951042180923E+016,04/22/2022 15:48,IG reel,151,130,138,0,25,4,5106,
1.79071231194401E+016,04/21/2022 17:14,IG carousel,484,407,326,0,20,9,,
1.79727892335529E+016,04/18/2022 16:21,IG carousel,334,290,285,0,14,15,,
